Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-11-28,AR,35.655,36.67,35.28,36.43,36.43,2876485.0
2025-12-01,AR,36.16,36.44,35.64,35.76,35.76,5319031.0
2025-12-02,AR,35.78,35.78,34.675,34.72,34.72,4077473.0
2025-12-03,AR,35.125,36.67,35.02,36.4,36.4,6769655.0
2025-12-04,AR,36.6,37.13,36.165,36.6,36.6,3859657.0
2025-12-05,AR,37.25,38.175,36.74,36.75,36.75,5213381.0
2025-10-06,ARE,84.1,84.3,79.76,79.99,79.99,2214090.0
2025-10-07,ARE,80.275,80.5,77.88,78.09,78.09,3016440.0
2025-10-08,ARE,77.5,78.75,75.16,75.22,75.22,3464476.0
2025-10-09,ARE,75.41,76.23,74.02,74.43,74.43,2504738.0
2025-10-10,ARE,74.45,74.5,72.9045,73.92,73.92,2721515.0
2025-10-13,ARE,73.95,74.2899,72.83,73.87,73.87,1560471.0
2025-10-14,ARE,73.54,75.36,73.38,75.07,75.07,1314709.0
2025-10-15,ARE,75.68,78.54,75.5001,76.21,76.21,1588219.0
2025-10-16,ARE,76.201,77.295,75.11,75.23,75.23,1933008.0
2025-10-17,ARE,75.5,75.99,74.2704,74.99,74.99,1229868.0
2025-10-20,ARE,75.5,77.3575,75.235,76.73,76.73,1653239.0
2025-10-21,ARE,76.79,77.195,75.835,76.79,76.79,1329056.0
2025-10-22,ARE,77.285,78.29,76.69,77.77,77.77,1195808.0
2025-10-23,ARE,77.51,78.2899,76.88,76.91,76.91,1191776.0
2025-10-24,ARE,77.555,78.51,77.27,77.41,77.41,1314785.0
2025-10-27,ARE,78.0,78.0,76.915,77.87,77.87,1404034.0
2025-10-28,ARE,69.78,69.78,62.56,62.94,62.94,12272885.0
2025-10-29,ARE,62.0368,63.605,57.615,58.76,58.76,7089062.0
2025-10-30,ARE,55.44,58.055,55.02,56.37,56.37,7501164.0
2025-10-31,ARE,56.1,58.695,55.3,58.22,58.22,4149914.0
2025-11-03,ARE,56.85,58.1,55.37,55.69,55.69,3765509.0
2025-11-04,ARE,55.12,55.7088,53.94,53.99,53.99,3128796.0
2025-11-05,ARE,54.275,54.85,53.08,54.47,54.47,3494157.0
2025-11-06,ARE,54.41,54.97,52.94,53.17,53.17,2332425.0
2025-11-07,ARE,53.175,55.65,52.95,55.61,55.61,2936855.0
2025-11-10,ARE,55.97,56.35,54.22,54.26,54.26,2683083.0
2025-11-11,ARE,54.525,55.11,53.77,54.85,54.85,2059824.0
2025-11-12,ARE,54.42,54.91,53.7,53.78,53.78,2429421.0
2025-11-13,ARE,53.23,53.672,52.16,52.24,52.24,2308960.0
2025-11-14,ARE,52.16,52.73,51.63,52.29,52.29,1753278.0
2025-11-17,ARE,52.39,52.54,50.51,50.84,50.84,2921155.0
2025-11-18,ARE,50.63,51.1199,50.22,50.8,50.8,3171789.0
2025-11-19,ARE,51.0,51.0,49.3,49.51,49.51,2687865.0
2025-11-20,ARE,49.88,50.46,48.66,48.86,48.86,2482678.0
2025-11-21,ARE,49.06,51.75,48.99,50.89,50.89,2792703.0
2025-11-24,ARE,51.155,51.58,50.6,51.22,51.22,2913764.0
2025-11-25,ARE,51.6,52.88,51.55,52.65,52.65,1924308.0
2025-11-26,ARE,52.29,54.17,52.27,53.57,53.57,2264298.0
2025-11-28,ARE,53.56,54.4513,53.4,53.67,53.67,1046532.0
2025-12-01,ARE,52.87,53.6,52.3901,53.1,53.1,2822587.0
2025-12-02,ARE,53.27,54.17,52.96,53.83,53.83,2103528.0
2025-12-03,ARE,52.13,52.57,47.57,48.42,48.42,7331311.0
2025-12-04,ARE,48.02,48.02,46.1,46.59,46.59,4963387.0
2025-12-05,ARE,46.1,47.49,45.47,45.48,45.48,5030588.0
2025-10-06,ARQT,19.89,20.445,19.65,19.76,19.76,2145893.0
2025-10-07,ARQT,19.84,20.89,19.41,20.57,20.57,1926970.0
2025-10-08,ARQT,20.63,21.56,20.4001,21.24,21.24,2521702.0
2025-10-09,ARQT,21.14,21.4125,20.57,20.71,20.71,1632505.0
2025-10-10,ARQT,20.73,20.73,19.7601,20.05,20.05,1824602.0
2025-10-13,ARQT,20.215,21.06,20.1632,20.72,20.72,2022372.0
2025-10-14,ARQT,20.49,20.605,20.16,20.43,20.43,1037991.0
2025-10-15,ARQT,20.5,21.715,20.4601,21.63,21.63,1977891.0
2025-10-16,ARQT,21.75,21.84,20.34,20.91,20.91,1618702.0
2025-10-17,ARQT,20.63,21.085,20.3,20.88,20.88,1320869.0
2025-10-20,ARQT,21.2,21.2,20.42,20.88,20.88,1690476.0
2025-10-21,ARQT,20.89,20.94,20.55,20.64,20.64,869614.0
2025-10-22,ARQT,20.44,20.73,19.66,19.81,19.81,1517480.0
2025-10-23,ARQT,19.8,20.36,19.68,20.08,20.08,1188874.0
2025-10-24,ARQT,20.32,20.32,19.95,20.11,20.11,1186550.0
2025-10-27,ARQT,20.33,20.6,19.6,19.64,19.64,1826475.0
2025-10-28,ARQT,22.5,25.75,22.0,24.95,24.95,12063173.0
2025-10-29,ARQT,25.835,25.99,23.48,25.29,25.29,5449157.0
2025-10-30,ARQT,25.89,27.0793,24.77,24.92,24.92,3060990.0
2025-10-31,ARQT,24.69,25.56,24.63,25.31,25.31,2300159.0
2025-11-03,ARQT,25.15,25.43,24.22,24.76,24.76,2093384.0
2025-11-04,ARQT,23.95,24.59,23.85,24.01,24.01,2899223.0
2025-11-05,ARQT,23.79,24.545,23.52,24.38,24.38,2683580.0
2025-11-06,ARQT,23.93,25.35,23.77,25.1,25.1,2636722.0
2025-11-07,ARQT,25.105,25.12,23.3205,24.23,24.23,3019522.0
2025-11-10,ARQT,24.7,24.86,23.74,23.75,23.75,2514050.0
2025-11-11,ARQT,23.62,24.12,23.39,24.03,24.03,1632545.0
2025-11-12,ARQT,24.05,24.39,23.24,23.45,23.45,1589867.0
2025-11-13,ARQT,23.37,23.77,22.78,22.86,22.86,2421823.0
