Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-11-18,APP,533.355,541.8,522.0,526.01,526.01,3927282.0,27.117685447030723,529.0,580.4279,False,False
2025-11-19,APP,530.11,545.26,525.43,530.05,530.05,4006370.0,29.721015628498535,522.0,570.9912,False,False
2025-11-20,APP,554.25,562.56,519.2,520.82,520.82,4432570.0,23.00884955752217,522.0,558.94,False,False
2025-11-21,APP,521.65,529.98,489.3,520.26,520.26,6031825.0,23.51325757575762,519.2,562.56,False,False
2025-11-24,APP,525.47,564.8,523.0,559.8,559.8,5008896.0,39.24674410418868,489.3,562.56,False,False
2025-11-25,APP,555.12,557.77,535.85,556.03,556.03,2757663.0,36.29872462726785,489.3,564.8,False,False
2025-11-26,APP,565.76,590.54,563.5,586.37,586.37,3435945.0,42.96570302762254,489.3,564.8,False,False
2025-11-28,APP,589.79,599.59,583.4,599.48,599.48,1825454.0,46.07319789546452,523.0,590.54,False,False
2025-12-01,APP,588.13,624.73,576.0,623.59,623.59,4544294.0,44.52214452214452,535.85,599.59,False,False
2025-12-02,APP,632.53,679.7,631.19,653.0,653.0,5199995.0,62.8455176683915,563.5,624.73,False,False
2025-12-03,APP,654.87,667.09,645.0,662.21,662.21,3000655.0,67.16828694455542,576.0,679.7,False,False
2025-12-04,APP,671.28,698.47,668.63,683.78,683.78,4949616.0,79.25548984550497,576.0,679.7,False,False
2025-10-27,AR,32.75,33.06,32.33,32.66,32.66,2771255.0,43.31896551724138,31.661,33.16,False,False
2025-10-28,AR,32.32,32.38,31.655,31.88,31.88,3446544.0,38.43017329255862,32.065,33.06,False,False
2025-10-29,AR,31.66,31.9499,31.03,31.62,31.62,4680093.0,39.60084033613446,31.655,33.06,False,False
2025-10-30,AR,30.635,31.115,29.1,30.03,30.03,10749123.0,41.383095499451166,31.03,33.06,False,False
2025-10-31,AR,30.68,31.115,30.115,30.91,30.91,6899825.0,41.76663031624863,29.1,32.38,False,False
